,text,class
2151,imitation crab,"[{'id': 'AG.01.d.07', 'name': 'Seafood'}]"
313,imitation crabmeat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d.07', 'name': 'Seafood'}]"
7303,infant cereal,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
4740,instant breakfast mix,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.r', 'name': 'Meal'}, {'id': 'AG.01.r.03', 'name': 'Feast'}]"
7513,instant coffee,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.ad', 'name': 'Coffee'}, {'id': 'AG.01.ag', 'name': 'Coffee manufacture'}]"
725,instant oatmeal,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.j', 'name': 'Meal'}, {'id': 'AG.01.n.02', 'name': 'Soup/pottage'}]"
7589,instant pudding,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.n.03', 'name': 'Puddings'}]"
10403,instant rice,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
6959,instant vanilla pudding,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.n.03', 'name': 'Puddings'}]"
8063,irish cream,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
8290,irish cream liqueur,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
8477,irish liqueur,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
327,italian dressing,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
12535,italian salad dressing mix,"[{'id': 'AG.01.h.02', 'name': 'Vegetables'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.09', 'name': 'Prepared vegetables and dishes'}]"
876,italian sausage,"[{'id': 'AG.01.n.05', 'name': 'Sausage'}]"
731,italian seasoning,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
1214,italian-style bread crumbs,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
1521,italian-style salad dressing,"[{'id': 'AG.01.h.02', 'name': 'Vegetables'}, {'id': 'AG.01.n.09', 'name': 'Prepared vegetables and dishes'}]"
8776,jagermeister,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.aj.01', 'name': 'Drinking vessel'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
821,jalapeno,"[{'id': 'AG.01', 'name': 'Food'}]"
123,jalapeno pepper,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
354,jalapeno peppers,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
1505,jalapeno slices,"[{'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
3071,jalapeno yogurt cheeses,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
1392,jalapenos,"[{'id': 'AG.01', 'name': 'Food'}]"
6294,jam,"[{'id': 'AG.01.n.18', 'name': 'Preserve'}]"
1375,jelly,"[{'id': 'AG.01.n.04', 'name': 'Jelly'}, {'id': 'AG.01.w', 'name': 'Setting table'}]"
11676,jelly mixture,"[{'id': 'AG.01.n.04', 'name': 'Jelly'}]"
5482,jelly roll-style,"[{'id': 'AG.01.n.04', 'name': 'Jelly'}]"
1279,juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
8674,juice cocktail,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.y.01.g', 'name': 'Cocktail'}]"
2933,juice mixture,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
420,juices,"[{'id': 'AG.01', 'name': 'Food'}]"
10253,kabobs,"[{'id': 'AG.01', 'name': 'Food'}]"
1034,kale,"[{'id': 'AG.01', 'name': 'Food'}]"
4932,kamut flour,"[{'id': 'AG.01.k', 'name': 'Flour'}, {'id': 'AG.01.j', 'name': 'Meal'}]"
4406,kefir,"[{'id': 'AG.01', 'name': 'Food'}]"
177,ketchup,"[{'id': 'AG.01', 'name': 'Food'}]"
9393,ketchup mixture,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
11470,kidney beans,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
10065,kielbasa,"[{'id': 'AG.01', 'name': 'Food'}]"
9186,kitchen twine,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
8400,kiwi,"[{'id': 'AG.01', 'name': 'Food'}]"
8173,kiwis,"[{'id': 'AG.01', 'name': 'Food'}]"
1045,kosher salt,"[{'id': 'AG.01.a', 'name': 'Qualities of food'}, {'id': 'AG.01.l.01', 'name': 'Salt'}, {'id': 'AG.01.w', 'name': 'Setting table'}]"
10091,lamb,"[{'id': 'AG.01.d.04', 'name': 'Mutton'}]"
7712,lard,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
5615,large marshmallow,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}]"
5878,large raisin,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
10005,lasagna noodles,"[{'id': 'AG.01', 'name': 'Food'}]"
9166,lavender,"[{'id': 'AF.10.g', 'name': 'Flower/part containing reproductive organs'}]"
84,leaf,"[{'id': 'AF.10.e', 'name': 'Leaf'}]"
87,leaf-rolls,"[{'id': 'AG.01', 'name': 'Food'}]"
1032,leaves,"[{'id': 'AF.10.e', 'name': 'Leaf'}]"
581,lebanese breads,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
3289,lefse dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
11722,leftover glaze,"[{'id': 'AG.01', 'name': 'Food'}]"
9555,leg,"[{'id': 'AE.07.b', 'name': 'Body and limbs'}]"
7414,lemon,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
7292,lemon extract,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
6125,lemon gelatin,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
7402,lemon gelatin-pineapple juice mixture,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
1845,lemon grass,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
10289,lemon herb seasoning,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.h.02.i', 'name': 'Herb'}, {'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
37,lemon juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
9306,lemon lime soda,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
7714,lemon oil,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
2081,lemon peel,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
10115,lemon pepper,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.l.03', 'name': 'Spice'}]"
5432,lemon rind,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.d.05', 'name': 'Pork'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
10534,lemon slice,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
8822,lemon slices,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
5519,lemon thyme,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.h.02.i', 'name': 'Herb'}]"
8989,lemon twist,"[{'id': 'AG.01.aj.01', 'name': 'Drinking vessel'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
8263,lemon wedge,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
8704,lemon wedges,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
3844,lemon zest,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.l', 'name': 'Additive'}]"
8992,lemon zest strip,"[{'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.l', 'name': 'Additive'}]"
11264,lemon-caper sauce,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}]"
8530,lemon-flavored vodka,"[{'id': 'AG.01', 'name': 'Food'}]"
8558,lemon-lime beverage,"[{'id': 'AG.01.ak', 'name': 'Drinking'}, {'id': 'AG.01.y', 'name': 'Drink'}, {'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
8152,lemon-lime flavored carbonated beverage,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}, {'id': 'AG.01.ak', 'name': 'Drinking'}, {'id': 'AG.01.r', 'name': 'Meal'}, {'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
6517,lemon-lime soda,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}]"
8087,lemonade,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}]"
8372,lemonade concentrate,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}]"
8376,lemonade mixture,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}]"
10079,lemons,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
12129,lentil mixture,"[{'id': 'AG.01.h.02.g', 'name': 'Pulse'}]"
11973,lentils,"[{'id': 'AG.01.h.02.g', 'name': 'Pulse'}]"
1111,lettuce,"[{'id': 'AG.01.h.02.c', 'name': 'Leaf vegetables'}]"
2185,lettuce leaves,"[{'id': 'AG.01.h.02.c', 'name': 'Leaf vegetables'}]"
10236,light brown sugar,"[{'id': 'AG.01', 'name': 'Food'}]"
7842,light whipped cream,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
11639,lightly salted water,"[{'id': 'AG.01.z', 'name': 'Water'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
12478,lima beans,"[{'id': 'AF.20.f', 'name': 'Pulses/plants producing pulses'}]"
7389,lime,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
8481,lime gelatin mix,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
8487,lime gelatin mixture,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
126,lime juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
5854,lime slice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
8041,lime slices,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
8611,lime spritzer,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
8440,lime wedge,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
685,lime wedges,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
571,lime zest,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}, {'id': 'AG.01.l', 'name': 'Additive'}]"
8434,limeade,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}]"
8097,limeade concentrate,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}]"
11284,linguini,"[{'id': 'AG.01', 'name': 'Food'}]"
11268,linguini pasta,"[{'id': 'AG.01', 'name': 'Food'}]"
797,liqueur,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
108,liquid,"[{'id': 'AG.01', 'name': 'Food'}]"
104,liquid mixture,"[{'id': 'AG.01', 'name': 'Food'}]"
9388,liquid smoke,"[{'id': 'AG.01', 'name': 'Food'}]"
927,liquid smoke flavoring,"[{'id': 'AG.01', 'name': 'Food'}]"
9181,liquors,"[{'id': 'AG.01.d.07', 'name': 'Seafood'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
6954,little water,"[{'id': 'AG.01.z', 'name': 'Water'}]"
10543,liver,"[{'id': 'AE.08', 'name': 'Invertebrates'}]"
10539,liver slices,"[{'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
1039,livers,"[{'id': 'AE.08', 'name': 'Invertebrates'}]"
2390,loaf,"[{'id': 'AG.01.n.06', 'name': 'Meat dishes'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
11678,loin,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
9903,low-sodium soy sauce,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}]"
12782,lukewarm water,"[{'id': 'AG.01.z', 'name': 'Water'}]"
4958,lumpy batter,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
7115,macadamia nuts,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
9354,mace,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
7489,madeleines,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}]"
7492,madeleines,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}]"
12623,mahi mahi,"[{'id': 'AE.10', 'name': 'Fish'}]"
3024,malt powder,"[{'id': 'AG.01.ae.02', 'name': 'Malting'}]"
7719,manageable dough,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
5914,mandarin orange segments,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.h.01.a', 'name': 'Citrus fruit'}]"
1151,mango,"[{'id': 'AE.10.g', 'name': 'Order Perciformes (perches)'}, {'id': 'AF.20', 'name': 'Particular food plant/product'}, {'id': 'AF.20.b', 'name': 'Particular fruit-tree/-plant'}]"
11351,mango barbeque sauce,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}]"
8282,mango chunks,"[{'id': 'AE.10.g', 'name': 'Order Perciformes (perches)'}, {'id': 'AF.20', 'name': 'Particular food plant/product'}, {'id': 'AF.20.b', 'name': 'Particular fruit-tree/-plant'}]"
12642,mango cubes,"[{'id': 'AE.10.g', 'name': 'Order Perciformes (perches)'}, {'id': 'AF.20', 'name': 'Particular food plant/product'}, {'id': 'AF.20.b', 'name': 'Particular fruit-tree/-plant'}]"
11342,mango pits,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}, {'id': 'AE.10.g', 'name': 'Order Perciformes (perches)'}, {'id': 'AF.20', 'name': 'Particular food plant/product'}, {'id': 'AF.20.b', 'name': 'Particular fruit-tree/-plant'}]"
6905,mango puree,"[{'id': 'AE.10.g', 'name': 'Order Perciformes (perches)'}, {'id': 'AF.20', 'name': 'Particular food plant/product'}, {'id': 'AF.20.b', 'name': 'Particular fruit-tree/-plant'}]"
12646,mango salsa,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
8937,mango slices,"[{'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
11329,mangos,"[{'id': 'AE.10.g', 'name': 'Order Perciformes (perches)'}, {'id': 'AF.20', 'name': 'Particular food plant/product'}, {'id': 'AF.20.b', 'name': 'Particular fruit-tree/-plant'}]"
8934,mangosteen juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
10339,manicotti,"[{'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
10350,manicotti shell,"[{'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
2572,maple extract,"[{'id': 'AF.13', 'name': 'Particular tree/shrub'}]"
720,maple syrup,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
4367,maple-flavored syrup,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
9037,maraschino cherries,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
8380,maraschino cherry,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
267,margarine,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
8933,margarita mix,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
8100,margaritas,"[{'id': 'AG.01', 'name': 'Food'}]"
674,marinade,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
5618,marshmallow,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}]"
5576,marshmallow half,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}]"
5574,marshmallow halves,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}]"
5616,marshmallow pieces,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
5622,marshmallow slices,"[{'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
5013,marshmallows,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}]"
8386,martini,"[{'id': 'AG.01.y.01.g', 'name': 'Cocktail'}]"
6860,mashed avocado,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
3430,mashed banana,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
4461,mashed bananas,"[{'id': 'AG.01.ae.03', 'name': 'Brewing'}, {'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
6420,mashed berries,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
9409,mashed chickpeas,"[{'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
5472,mashed potato,"[{'id': 'AG.01.h.02.a', 'name': 'Root vegetable'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
3283,mashed potatoes,"[{'id': 'AG.01.ae.03', 'name': 'Brewing'}, {'id': 'AG.01.h.02.a', 'name': 'Root vegetable'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
1128,mashed sweet potatoes,"[{'id': 'AG.01.h.02.a', 'name': 'Root vegetable'}]"
4155,matcha green tea powder,"[{'id': 'AG.01.ac', 'name': 'Tea'}, {'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.r', 'name': 'Meal'}]"
8332,matcha powder,"[{'id': 'AG.01', 'name': 'Food'}]"
6994,matzo meal,"[{'id': 'AG.01.j', 'name': 'Meal'}, {'id': 'AG.01.r', 'name': 'Meal'}]"
12,mayonnaise,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.n.01', 'name': 'Food by way of preparation'}]"
9472,mayonnaise mixture,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.n.01', 'name': 'Food by way of preparation'}]"
69,meat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}]"
1074,meat balls,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}]"
11061,meat filling,"[{'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
10003,meat loaf,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.n.06', 'name': 'Meat dishes'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
83,meat mixture,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.d', 'name': 'Animals for food'}]"
9804,meat sauce,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
67,meat slice,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
12315,meat substitute,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}]"
210,meatball,"[{'id': 'AG.01', 'name': 'Food'}]"
208,meatballs,"[{'id': 'AG.01', 'name': 'Food'}]"
9836,meatloaf,"[{'id': 'AG.01', 'name': 'Food'}]"
5661,medjool dates,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
8287,melon liqueur,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
183,melted butter,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
954,melted butter mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
6413,melted caramel,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
5027,melted chocolate,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
7155,melted chocolate mixture,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
7367,melted margarine,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
5635,melted marshmallows,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}]"
5142,melted white chocolate,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
6721,melted white chocolate chips,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
7608,melted white chocolate mixture,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
12664,melting cheese,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
806,membrane,"[{'id': 'AF.10.k', 'name': 'Cell/aggregate tissue'}]"
11054,membranes,"[{'id': 'AF.10.k', 'name': 'Cell/aggregate tissue'}]"
6539,meringue,"[{'id': 'AG.01', 'name': 'Food'}]"
3699,mexican cheese blend,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
2069,mexican-style cheese,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
11710,mild sausage,"[{'id': 'AG.01.n.05', 'name': 'Sausage'}, {'id': 'AG.01.y.01.b', 'name': 'Ale/beer'}]"
1888,milder dip,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.y.01.b', 'name': 'Ale/beer'}]"
72,milk,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}]"
2234,milk mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.e', 'name': 'Dairy produce'}]"
5525,milk powder,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}]"
3656,millet,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
9462,minced garlic,"[{'id': 'AG.01.h.02.e', 'name': 'Onion/leek/garlic'}]"
